Recipient_ID,Gender,age,income,Credit_Score,Education_Level,Region,Telephone_No
1000114,Female,55-64,4920,717,2,North,8223910326
1000115,Sex Not Available,>74,4800,872,1,south,3845638843
1000116,Sex Not Available,45-54,4200,619,3,south,1397707262
1000117,Male,45-54,,668,3,central,8588413306
1000118,Joint,45-54,8160,640,3,North,2646165511
1000119,Female,55-64,4440,600,1,North,8682057411
1000120,Male,55-64,11400,524,2,North,5085161995
1000121,Female,25-34,3240,883,2,North,8429999487
1000122,Sex Not Available,65-74,3300,503,1,south,9534076929
1000123,Joint,45-54,3840,887,2,North,9218751624
1000124,Male,65-74,,604,2,North,8592901858
1000125,Female,35-44,6600,644,2,south,3311813867
1000126,Joint,35-44,,648,3,central,5871316975
1000127,Male,35-44,8400,797,2,south,9660130086
1000128,Sex Not Available,25-34,5820,806,3,south,4909809808
1000129,Joint,55-64,6540,845,2,central,9100726385
1000130,Sex Not Available,45-54,15240,815,3,North,7927155929
1000131,Male,45-54,5280,585,2,North,7937839005
1000132,Joint,35-44,8280,729,2,south,6277209747
1000133,Female,65-74,16740,538,2,North,1751574288
1000134,Female,65-74,2220,629,1,North,6205972522
1000135,Male,55-64,3780,791,2,North,2837820563
1000136,Female,55-64,5580,671,2,North,4212463924
1000137,Joint,45-54,11760,787,2,North,1551136601
1000138,Male,55-64,54300,572,1,North,6379020301
1000139,Sex Not Available,35-44,4680,755,3,south,9619835785
1000140,Joint,65-74,4140,670,3,North,1102482529
1000141,Joint,45-54,8580,760,3,North,7431512534
1000142,Joint,35-44,10020,578,2,south,8905340467
1000143,Female,45-54,9000,648,2,North,8016050676
1000144,Sex Not Available,45-54,0,836,3,south,8700227869
1000145,Joint,45-54,25680,900,3,south,7696546288
1000146,Female,55-64,8580,777,3,North,9644530899
1000147,Joint,35-44,7080,765,2,North,9009781427
1000148,Male,65-74,,534,2,North,5828951151
1000149,Joint,65-74,4920,667,1,central,1519543789
1000150,Male,35-44,8640,880,2,North,1228073714
1000151,Male,45-54,3960,820,3,south,9998406729
1000152,Male,25-34,3600,568,2,North,6925276171
1000153,Female,>74,6180,805,2,south,7284942603
1000154,Male,55-64,10080,590,3,south,8773431441
1000155,Male,35-44,,892,3,North,6075901842
1000156,Sex Not Available,55-64,2520,540,2,North,4662960099
1000157,Joint,55-64,10200,869,1,North,1942096052
1000158,Male,>74,2520,737,1,North,2354323490
1000159,Male,65-74,7980,831,1,North,7861358674
1000160,Joint,45-54,11640,671,1,North,2029921404
1000161,Sex Not Available,65-74,13560,608,2,south,2158925912
1000162,Male,65-74,,803,2,North,6237827436
1000163,Joint,65-74,4800,795,3,North,5225945624
1000164,Joint,55-64,26100,642,3,North,1496600939
1000165,Male,35-44,9000,674,3,south,7857525918
1000166,Female,>74,14220,804,2,south,7919571834
1000167,Female,45-54,10800,788,3,central,9349973774
1000168,Male,45-54,19620,737,2,North,6824080720
1000169,Male,45-54,2640,781,2,south,5898273832
1000170,Male,45-54,11880,545,3,North,9962097930
1000171,Joint,65-74,6660,796,3,North,6915212301
1000172,Female,45-54,3240,660,3,central,5951481511
1000173,Sex Not Available,25-34,3360,850,3,south,8280551907
1000174,Female,35-44,840,851,3,central,3757558314
1000175,Sex Not Available,55-64,7020,794,2,south,5276330774
1000176,Female,35-44,,866,1,south,2685647569
1000177,Sex Not Available,45-54,1500,777,2,south,7383109002
1000178,Joint,45-54,9180,780,1,North,9628931011
1000179,Female,45-54,3960,611,1,south,8016870545
1000180,Female,65-74,4440,584,3,North,3411406137
1000181,Joint,25-34,6480,621,1,south,5388990019
1000182,Male,<25,4140,660,1,North,5831137088
1000183,Sex Not Available,45-54,1860,862,1,south,9009040898
1000184,Sex Not Available,45-54,8280,829,3,south,7475767338
1000185,Male,25-34,9900,848,3,south,7532824586
1000186,Sex Not Available,55-64,78120,775,1,south,2369620547
1000187,Male,55-64,3180,812,2,North,8388128337
1000188,Male,25-34,3540,733,2,North,6800400890
1000189,Male,25-34,3120,700,3,North,4247012632
1000190,Sex Not Available,35-44,6960,781,3,south,6265302628
1000191,Joint,25-34,3180,633,1,North,4144465202
1000192,Sex Not Available,25-34,,702,3,south,7374758620
1000193,Female,55-64,1980,882,1,North,3666614305
1000194,Male,25-34,18420,880,1,south,4375998609
1000195,Sex Not Available,>74,2940,686,2,south,5037191119
1000196,Joint,45-54,6840,733,1,North,2532395441
1000197,Sex Not Available,55-64,1740,652,3,south,6337049927
1000198,Sex Not Available,25-34,,524,3,south,8889572903
1000199,Male,25-34,8280,705,3,North,2184269180
1000200,Joint,45-54,13140,844,3,North,4497868359
1000201,Joint,25-34,2220,642,2,North,5733227376
1000202,Sex Not Available,45-54,18240,649,1,south,9525604895
1000203,Male,35-44,8760,557,2,North,6921581476
1000204,Joint,45-54,15840,866,3,North,3060528328
1000205,Sex Not Available,65-74,5880,761,3,south,6397638631
1000206,Sex Not Available,55-64,1260,569,1,south,9967925935
1000207,Joint,55-64,,523,2,North,1661147760
1000208,Joint,55-64,2100,740,2,North,1268086816
1000209,Male,45-54,0,638,2,North,9948273867
1000210,Joint,55-64,18000,506,2,North,5463666139
1000211,Male,35-44,4320,803,3,central,9383280052
1000212,Male,45-54,1680,880,2,central,6939829049
1000213,Joint,35-44,,690,3,North,8496685415
1000214,Joint,25-34,4560,616,3,North,6101436482
1000215,Male,<25,2460,648,3,North,7241356945
1000216,Joint,55-64,9060,660,3,North,7462454503
1000217,Female,35-44,8220,782,2,North,1585441264
1000218,Joint,55-64,7380,601,1,North,2847331418
1000219,Male,55-64,7440,809,3,south,8923678726
1000220,Joint,25-34,10800,855,2,south,5722183992
1000221,Male,45-54,7560,768,3,North,8003015464
1000222,Joint,>74,7500,627,2,North,7573257335
1000223,Sex Not Available,55-64,1380,854,2,south,8514284207
1000224,Female,>74,4020,700,3,south,4633706898
1000225,Male,55-64,2220,762,2,south,8357795185
1000226,Joint,45-54,10440,746,2,south,5601353418
1000227,Sex Not Available,25-34,4800,592,3,south,5607498035
1000228,Sex Not Available,45-54,12240,703,2,south,7828696434
1000229,Male,25-34,7620,613,2,North,1973392267
1000230,Joint,35-44,9660,697,2,south,7617039220
1000231,Joint,45-54,6480,740,3,North,1630932438
1000232,Sex Not Available,55-64,4260,545,2,south,3139395296
1000233,Sex Not Available,55-64,5280,710,1,south,2497106029
1000234,Male,35-44,10740,664,3,North,5733141143
1000235,Female,35-44,,522,2,central,5939471151
1000236,Joint,25-34,8160,789,1,North,8826365301
1000237,Joint,25-34,9960,898,2,North,3577374197
1000238,Male,35-44,13500,693,3,North,4288287502
1000239,Female,65-74,5400,571,1,North,5992322397
1000240,Joint,45-54,7320,597,2,North,6903568287
1000241,Joint,65-74,8220,680,1,North,2163252346
1000242,Male,>74,5640,571,2,North,5641753199
1000243,Female,45-54,3600,575,2,North,4892374633
1000244,Male,35-44,6600,694,3,North,7811578492
1000245,Male,55-64,16080,581,2,south,7666463730
1000246,Male,35-44,5100,796,2,North,5551268563
1000247,Sex Not Available,45-54,2700,678,2,south,2509005946
1000248,Joint,65-74,2280,714,2,North,4791127704
1000249,Joint,45-54,5340,871,3,North,9821539495
1000250,Sex Not Available,65-74,4680,800,1,south,1402020898
1000251,Female,65-74,2460,700,2,North,6094080093
1000252,Male,35-44,7320,880,2,North,5590724614
1000253,Joint,25-34,6720,853,3,North,7984179344
1000254,Female,55-64,2760,644,3,North,7312174145
1000255,Sex Not Available,35-44,9660,898,3,south,2161504342
1000256,Female,25-34,5040,717,3,North,6476905177
1000257,Male,25-34,5580,773,2,south,9485506910
1000258,Female,45-54,4620,868,1,North,7812442993
1000259,Female,55-64,5460,540,2,south,9560724924
1000260,Male,35-44,6600,718,2,North,8091028533
1000261,Joint,45-54,2220,786,1,North,4953980451
1000262,Female,>74,2580,713,2,North,5408041852
1000263,Joint,65-74,5100,874,2,North,5570270415
1000264,Female,55-64,8100,647,3,North,6525857923
1000265,Male,45-54,16260,711,2,south,1625173246
1000266,Joint,35-44,8880,625,1,North,7898941752
1000267,Sex Not Available,,,768,3,south,8528658978
1000268,Female,25-34,5100,626,3,North,4609216503
1000269,Female,55-64,2580,500,1,North,9150442046
1000270,Sex Not Available,35-44,8100,700,3,south,2826423116
1000271,Joint,45-54,12120,663,3,North,9259893953
1000272,Male,25-34,3660,538,1,south,8647481426
1000273,Male,25-34,4260,695,3,North,1116621734
1000274,Male,35-44,5580,517,2,North,8567489082
1000275,Male,45-54,3000,815,3,North,2664788841
1000276,Joint,65-74,5220,759,3,south,9130623794
1000277,Male,<25,1860,792,2,south,3600189839
1000278,Sex Not Available,45-54,9180,822,3,south,1854511235
1000279,Joint,45-54,8100,516,1,North,7880949567
1000280,Female,35-44,6840,704,3,North,6046826970
1000281,Joint,55-64,9000,808,2,North,6489149901
1000282,Joint,25-34,9360,534,3,south,6447485404
1000283,Joint,55-64,4560,786,1,North,5413933289
1000284,Joint,35-44,4620,605,2,south,4659353829
1000285,Female,55-64,4260,539,2,south,2138450980
1000286,Sex Not Available,65-74,4680,522,2,south,8481082730
1000287,Female,25-34,6960,812,3,south,1128312948
1000288,Male,25-34,3660,860,3,North,7372275856
1000289,Male,35-44,4440,876,2,North,3757068584
1000290,Joint,35-44,9120,762,3,North,4482946290
1000291,Joint,25-34,4920,809,3,North,2632122164
1000292,Male,45-54,12060,595,2,North,1967711949
1000293,Joint,55-64,9180,598,2,North,3881672902
1000294,Sex Not Available,35-44,4860,763,2,south,2585970101
1000295,Sex Not Available,35-44,2640,515,1,south,1436363008
1000296,Joint,25-34,27000,508,3,North,6194485533
1000297,Sex Not Available,55-64,7920,820,3,south,8705002588
1000298,Male,55-64,3840,529,2,North,8663739127
1000299,Male,25-34,3840,592,3,North,6293502702
1000300,Sex Not Available,45-54,5880,545,2,south,2954989382
1000301,Female,55-64,3180,830,1,North,5812179396
1000302,Female,45-54,0,710,3,North,6464105135
1000303,Sex Not Available,65-74,4140,551,2,south,1564885651
1000304,Male,35-44,3480,715,3,south,5181793576
1000305,Male,35-44,3660,802,3,North,7592078529
1000306,Male,45-54,4320,871,1,south,9528058930
1000307,Female,45-54,,557,3,central,9456437804
1000308,Joint,65-74,2100,879,2,south,7009985896
1000309,Male,55-64,1140,743,1,south,2188645022
1000310,Male,45-54,7200,572,2,south,4853244697
1000311,Sex Not Available,55-64,5460,699,2,south,7815744662
1000312,Female,65-74,3420,538,2,North,6228369639
1000313,Sex Not Available,55-64,6360,617,3,south,6366368626
1000314,Sex Not Available,55-64,5040,761,2,south,4468214779
1000315,Joint,25-34,7860,711,3,North,3135011039
1000316,Male,65-74,6060,640,2,south,3497712521
1000317,Male,25-34,4800,665,3,North,6738733785
1000318,Male,35-44,4440,667,2,North,8803327610
1000319,Joint,65-74,7380,834,1,North,1050335249
1000320,Female,35-44,7200,829,1,central,3157603314
1000321,Male,35-44,5100,871,3,North,1501020652
1000322,Joint,35-44,8340,661,3,North,5513416997
1000323,Female,45-54,4980,661,3,North,4496098992
1000324,Joint,65-74,4080,664,3,North,6680526196
1000325,Male,35-44,9660,896,2,south,6290213315
1000326,Male,25-34,17640,856,2,central,4951776065
1000327,Joint,55-64,6720,603,1,central,7126052776
1000328,Male,35-44,5040,627,3,North,8195508483
1000329,Female,55-64,3240,715,2,North,9396483651
1000330,Sex Not Available,65-74,5280,595,2,south,7179739558
1000331,Sex Not Available,35-44,23760,861,3,south,6536609308
1000332,Male,55-64,4620,851,1,south,7506238813
1000333,Sex Not Available,65-74,1620,660,2,south,2536564261
1000334,Sex Not Available,45-54,24060,767,2,south,8836574589
1000335,Female,35-44,,656,1,North,9456681056
1000336,Male,35-44,12060,875,3,south,4998683846
1000337,Male,55-64,3840,778,2,North,8173538218
1000338,Male,35-44,7200,652,3,North,9297926062
1000339,Joint,35-44,5760,577,3,central,2002115762
1000340,Sex Not Available,35-44,3540,869,3,south,4153006371
1000341,Male,55-64,7440,758,3,south,7431996309
1000342,Sex Not Available,45-54,8040,701,2,south,3702964669
1000343,Joint,45-54,5460,775,2,North,1718161456
1000344,Joint,55-64,71220,893,1,North,6001432973
1000345,Joint,65-74,3060,870,3,North,6691851693
1000346,Sex Not Available,45-54,7140,785,2,south,7658177658
1000347,Sex Not Available,45-54,9300,779,2,south,2964405877
1000348,Joint,55-64,2520,565,3,North,4104624353
1000349,Female,55-64,5160,792,1,North,1454199937
1000350,Male,55-64,5820,753,3,North,1078208731
1000351,Female,45-54,8700,838,2,south,7421408873
1000352,Male,25-34,,769,3,North,4882255625
1000353,Joint,65-74,3120,851,1,North,8147392855
1000354,Sex Not Available,25-34,2640,517,3,south,2944282796
1000355,Male,25-34,6720,852,3,North,7375562731
1000356,Male,55-64,8820,587,3,North,8058634612
1000357,Joint,65-74,8880,694,1,south,6022390203
1000358,Female,55-64,3060,781,3,North,8061965655
1000359,Male,45-54,1620,729,3,North,9586720908
1000360,Sex Not Available,65-74,6000,597,3,south,4434171445
1000361,Joint,>74,2520,640,1,North,4055373044
1000362,Male,25-34,5100,719,1,North,7286593953
1000363,Sex Not Available,35-44,,744,2,south,2951583183
1000364,Female,35-44,1860,768,3,south,3520921790
1000365,Male,45-54,4320,770,1,North,4975859630
1000366,Male,45-54,11400,850,3,south,2222297782
1000367,Sex Not Available,35-44,7200,598,2,south,2961170657
1000368,Male,55-64,4380,818,2,North,4727293587
1000369,Male,25-34,,614,3,south,2214032317
1000370,Joint,55-64,12000,604,2,central,5002430793
1000371,Male,45-54,,892,3,North,8542108266
1000372,Male,>74,,804,3,North,1369868861
1000373,Male,55-64,3360,737,2,North,7326552741
1000374,Sex Not Available,45-54,10860,888,3,south,7521312649
1000375,Joint,35-44,8100,543,2,North,3540920662
1000376,Joint,35-44,6780,547,2,south,6972993448
1000377,Male,35-44,8760,571,2,central,8513774809
1000378,Male,25-34,4680,803,2,south,4493460955
1000379,Sex Not Available,55-64,3720,639,3,south,8826484024
1000380,Joint,55-64,4320,869,2,central,4033493741
1000381,Sex Not Available,55-64,12540,621,2,south,5281941443
1000382,Sex Not Available,35-44,5400,715,3,south,4773961411
1000383,Female,35-44,9360,774,3,central,4291794089
1000384,Joint,45-54,8280,651,2,North,9029808446
1000385,Sex Not Available,45-54,5400,728,2,south,9422319689
1000386,Joint,35-44,8460,618,3,south,5916960254
1000387,Female,65-74,2580,574,3,North,1070179950
1000388,Female,55-64,6300,505,3,North,6616435667
1000389,Joint,35-44,12420,773,2,south,9839200328
1000390,Sex Not Available,55-64,1680,716,3,south,5944049654
1000391,Male,35-44,5280,798,3,south,5488082709
1000392,Male,55-64,5940,807,2,North,9431668672
1000393,Sex Not Available,45-54,30180,530,1,south,8621395788
1000394,Joint,45-54,10200,729,3,south,8469310630
1000395,Sex Not Available,65-74,7440,815,3,south,5603258033
1000396,Joint,35-44,8640,703,3,south,9456651914
1000397,Sex Not Available,>74,1980,668,2,south,7509179344
1000398,Female,45-54,6180,611,3,North,9072074662
1000399,Female,55-64,3420,814,3,south,3930881400
1000400,Sex Not Available,25-34,2520,843,1,south,2204231738
1000401,Sex Not Available,65-74,7200,845,3,south,3356153434
1000402,Male,35-44,11160,635,1,North,5508074420
1000403,Male,35-44,3780,824,1,central,9282942556
1000404,Male,25-34,4260,519,3,North,5688091349
1000405,Female,35-44,3480,559,3,North,9833112092
1000406,Female,65-74,1320,633,3,central,5804056175
1000407,Joint,55-64,14640,621,2,North,8419077681
1000408,Sex Not Available,45-54,6120,837,3,south,5459735556
1000409,Joint,35-44,5760,779,2,North,6362228656
1000410,Sex Not Available,65-74,0,847,1,south,9665110203
1000411,Male,45-54,19800,885,3,North,8491086797
1000412,Male,25-34,7020,584,2,south,7754255172
1000413,Male,35-44,2280,630,3,central,9352697593
1000414,Sex Not Available,65-74,,589,2,south,3896703911
1000415,Female,45-54,2940,714,1,North,4286820543
1000416,Male,25-34,5040,723,3,North,5050069177
1000417,Sex Not Available,45-54,5040,654,1,south,7113769840
1000418,Male,55-64,3720,724,3,North,5831451678
1000419,Joint,>74,,540,2,North,5983356427
1000420,Male,35-44,6960,856,3,North,3620122334
1000421,Sex Not Available,25-34,2580,527,2,south,8058086709
1000422,Male,45-54,12660,605,3,south,5812472109
1000423,Female,25-34,4620,738,2,North,5301604585
1000424,Joint,55-64,11220,811,3,south,6075825997
1000425,Male,25-34,7380,546,3,North,3030750534
1000426,Male,45-54,4200,569,1,south,5870736379
1000427,Joint,35-44,6360,806,3,North,6685788807
1000428,Joint,65-74,7380,537,3,North,2301892743
1000429,Joint,55-64,,759,1,North,6321544900
1000430,Male,65-74,3960,734,3,south,6589540889
1000431,Female,45-54,5880,517,2,North,7742167888
1000432,Sex Not Available,45-54,9720,547,3,south,7395924701
1000433,Sex Not Available,>74,2220,594,2,south,6699098967
1000434,Joint,55-64,3720,853,3,central,9963109919
1000435,Male,65-74,2820,538,1,North,3970744744
1000436,Sex Not Available,35-44,3240,836,1,south,2172343278
1000437,Male,55-64,6660,658,3,North,6835133751
1000438,Male,55-64,3780,670,2,south,3366340265
1000439,Male,35-44,4740,800,1,North,3846402372
1000440,Male,25-34,6540,884,1,North,3555700518
1000441,Sex Not Available,45-54,,583,3,south,8965405168
1000442,Female,45-54,2760,633,3,North,8367275829
1000443,Joint,35-44,5760,666,3,North,2406540212
1000444,Female,45-54,3780,742,2,North,8396388133
1000445,Sex Not Available,65-74,3660,640,3,south,6276331495
1000446,Joint,>74,5460,512,3,North,3894833249
1000447,Joint,55-64,7020,508,2,central,4986089867
1000448,Female,35-44,7500,699,3,North,7358297737
1000449,Sex Not Available,25-34,1920,581,3,south,3179062692
1000450,Female,45-54,9360,723,1,south,5908964343
1000451,Male,65-74,3540,692,3,North,6040962818
1000452,Joint,65-74,2220,522,2,central,7895537306
1000453,Female,35-44,6240,830,2,south,4717190467
1000454,Sex Not Available,55-64,4860,877,2,south,5885074814
1000455,Sex Not Available,35-44,1860,614,2,south,2177960342
1000456,Joint,55-64,8340,706,2,North,5497814124
1000457,Sex Not Available,45-54,3600,546,2,south,7575804702
1000458,Joint,25-34,5460,858,2,North,2190534868
1000459,Male,45-54,9720,727,2,south,3033978726
1000460,Sex Not Available,>74,1740,626,1,south,6088951041
1000461,Joint,65-74,,620,2,central,4035012829
1000462,Male,>74,1800,580,1,central,5792838551
1000463,Joint,45-54,4980,698,3,North,3563609327
1000464,Sex Not Available,25-34,0,609,1,south,4804744128
1000465,Female,45-54,3000,623,3,North,6729859472
1000466,Male,45-54,12360,544,2,North,9769884447
1000467,Sex Not Available,45-54,7920,645,3,south,9779249496
1000468,Female,45-54,4500,620,3,North-East,8744833519
1000469,Joint,65-74,2820,657,3,North,9460899317
1000470,Male,35-44,9120,652,3,North,1904347358
1000471,Sex Not Available,65-74,3420,860,2,south,1653930496
1000472,Joint,65-74,6480,712,2,south,7802858123
1000473,Female,35-44,7500,787,3,North,5393230267
1000474,Sex Not Available,65-74,5400,866,2,south,6925581304
1000475,Female,45-54,10500,513,3,North-East,9446279185
1000476,Sex Not Available,45-54,4440,737,3,south,9523544494
1000477,Sex Not Available,25-34,5340,694,2,south,8593803226
1000478,Sex Not Available,>74,2580,501,2,south,6137183942
1000479,Sex Not Available,>74,4560,876,3,south,7542627248
1000480,Sex Not Available,65-74,6000,771,1,south,5891078742
1000481,Male,35-44,,898,3,North,1389161622
1000482,Sex Not Available,25-34,7260,815,3,south,9580635256
1000483,Sex Not Available,35-44,5400,736,2,south,2699111792
1000484,Joint,45-54,6000,885,3,North,2657829959
1000485,Male,55-64,3420,760,3,south,7981787455
1000486,Male,35-44,6360,514,2,south,9113051653
1000487,Sex Not Available,55-64,2820,678,3,south,4235010191
1000488,Sex Not Available,35-44,7800,843,1,south,4961708357
1000489,Joint,45-54,4320,597,1,North,5653160803
1000490,Female,45-54,4260,698,3,south,7422320227
1000491,Male,45-54,6780,536,1,North,4074725702
1000492,Joint,45-54,3720,875,3,North,5155992833
1000493,Male,45-54,4680,537,2,North,4298255053
1000494,Female,45-54,3120,523,1,North,6869443429
1000495,Joint,55-64,10740,822,3,south,6209449116
1000496,Sex Not Available,25-34,,703,1,south,8103188808
1000497,Sex Not Available,45-54,10980,638,3,south,9414355352
1000498,Female,55-64,6480,619,1,central,5788024450
1000499,Male,65-74,,671,2,central,1849760853
1000500,Joint,55-64,8580,580,3,central,6339598380
1000501,Female,25-34,4260,512,2,North,4889544700
1000502,Joint,35-44,8340,828,2,North,9117433808
1000503,Joint,65-74,9420,588,2,North,9446798824
1000504,Sex Not Available,35-44,15240,822,1,North,8568812381
1000505,Sex Not Available,>74,14160,730,3,south,6275954853
1000506,Sex Not Available,45-54,,858,3,south,4381980314
1000507,Male,55-64,5160,815,3,North,6184570069
1000508,Joint,>74,,597,1,North,1460669557
1000509,Male,35-44,6000,731,3,south,2277373992
1000510,Joint,35-44,6900,646,3,south,2647901940
1000511,Male,35-44,9720,563,3,south,8223217908
1000512,Male,25-34,4440,525,3,North,4710286868
1000513,Sex Not Available,>74,4260,585,1,south,2312338039
1000514,Joint,>74,3360,783,1,south,8373068567
1000515,Male,55-64,12840,782,3,North,7389926996
1000516,Sex Not Available,45-54,21000,540,3,south,1799274861
1000517,Joint,45-54,7800,761,3,south,6755389700
1000518,Female,25-34,7560,784,2,south,5833437957
1000519,Joint,55-64,11520,725,2,North,5591048095
1000520,Sex Not Available,55-64,4680,657,3,south,6948008637
1000521,Male,35-44,9720,752,2,south,2295795183
1000522,Joint,25-34,8160,715,3,North,8268082341
1000523,Joint,45-54,2760,756,1,south,8835551846
1000524,Female,35-44,2160,834,1,central,5175601112
1000525,Joint,45-54,4320,557,1,south,4095662545
1000526,Female,55-64,7440,833,1,North,1889247306
1000527,Male,65-74,5760,585,2,North,3924653264
1000528,Male,65-74,2640,880,2,North,9596296226
1000529,Joint,35-44,12300,616,2,North,7315180229
1000530,Male,>74,3960,727,3,North,1649967368
